in:Roof angle,in:Sunspace depth,in:Skylight WWR,in:Exterior wall WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2),img
30,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,11.355734,52103.869551,0,Roof angle2_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.976201,27082.547064,0,Roof angle0_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.131017,27334.374887,0,Roof angle1_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.476012,27652.865168,0,Roof angle2_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.95497,38276.134658,0,Roof angle0_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.277441,38850.155817,0,Roof angle1_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.796558,39449.747135,0,Roof angle2_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,18.37041,49157.089063,0,Roof angle0_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.247667,50229.304136,0,Roof angle1_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.090389,51066.406336,0,Roof angle2_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.6768,27070.243153,0,Roof angle0_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.80084,27322.177906,0,Roof angle1_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.248312,27641.534812,0,Roof angle2_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.933409,38164.622498,0,Roof angle0_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.382602,38749.896436,0,Roof angle1_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,11.86819,39371.231432,0,Roof angle2_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.84036,48958.484084,0,Roof angle0_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
15,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.129657,49991.263052,0,Roof angle1_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
30,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,10.971479,50839.414627,0,Roof angle2_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const1_Skylight const0_Exterior wall const0_Insulation material0_View.png
0,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.903247,28390.525993,0,Roof angle0_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.069797,28313.897482,0,Roof angle1_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.457894,28138.958241,0,Roof angle2_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
