in:Roof angle,in:Sunspace depth,in:SRR,in:WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2)
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,44.076244,5174.790826,16.091316
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,44.858402,5153.154806,16.562491
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,46.268534,5159.347753,16.562491
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,46.677452,5174.790826,16.562491
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,41.685044,5676.264044,16.150942
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,44.077188,5672.132498,16.150942
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,45.050616,5701.071816,16.150942
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,44.730714,5676.741537,16.590858
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,46.572622,5673.640766,16.590858
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,47.18242,5701.071816,16.590858
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,41.271497,5490.743098,16.015109
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,43.52649,5492.321334,16.015109
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,44.405119,5514.293427,16.015109
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,44.555121,5490.97513,16.492812
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,46.227467,5496.343087,16.492812
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,46.782162,5514.293427,16.492812
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,41.420368,6013.888693,16.091867
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,44.133964,6007.207513,16.091867
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,45.339129,6040.574418,16.091867
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,44.369551,6014.57161,16.531524
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,46.485869,6011.388336,16.531524
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,47.233274,6040.574418,16.531524
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,24.741258,10509.72801,17.149758
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,29.473244,10439.15378,17.149758
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,30.906296,10615.69314,17.149758
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,31.356326,10544.45104,17.410126
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,34.769362,10455.94004,17.410126
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,35.677336,10615.69314,17.410126
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,25.17689,11032.44498,17.183025
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,30.556459,10954.46136,17.183025
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,32.218716,11141.97413,17.183025
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,31.47029,11067.41936,17.445542
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,35.352589,10970.4249,17.445542
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,36.498964,11141.97413,17.445542
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,25.220491,11804.58618,16.819759
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,31.175822,11745.10299,16.819759
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,33.033472,11980.95404,16.819759
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,31.09548,11850.30145,17.158149
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,35.429706,11759.25704,17.158149
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,36.650637,11980.95404,17.158149
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,25.538065,12327.89807,16.869495
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,31.933211,12261.90376,16.869495
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,34.050177,12507.23503,16.869495
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,31.141963,12373.83489,17.190486
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,35.879058,12275.80936,17.190486
0,1,0.3,0.6,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,37.258239,12507.23503,17.190486
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,26.684345,10518.12261,16.30569
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,31.164076,10436.14119,16.30569
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,32.265129,10615.69314,16.30569
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,32.460298,10542.67884,16.737513
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,35.699591,10451.88323,16.737513
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,36.490068,10615.69314,16.737513
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,27.033694,11041.03396,16.353989
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,32.055141,10953.29329,16.353989
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,33.516847,11141.97413,16.353989
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,32.479995,11067.53734,16.778729
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,36.137653,10968.63351,16.778729
